"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[spectrum type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Rmsd]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Analysis date]"	"Factor Value[Season of sample collection]"
"subject_2150"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001701.CDF"	"120621_Pivus_001701.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"102.5496658"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2150"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001702.CDF"	"120621_Pivus_001702.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"102.5496658"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2126"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001801.CDF"	"120621_Pivus_001801.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"109.2411978"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2126"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001802.CDF"	"120621_Pivus_001802.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"109.2411978"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2142"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001901.CDF"	"120621_Pivus_001901.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"94.86575775"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2142"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001902.CDF"	"120621_Pivus_001902.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"94.86575775"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1824"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002001.CDF"	"120621_Pivus_002001.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"90.83557348"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1824"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002002.CDF"	"120621_Pivus_002002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"90.83557348"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1893"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002101.CDF"	"120621_Pivus_002101.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"87.90863431"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1893"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002102.CDF"	"120621_Pivus_002102.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"87.90863431"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1846"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002201.CDF"	"120621_Pivus_002201.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"94.01650423"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1846"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002202.CDF"	"120621_Pivus_002202.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"94.01650423"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2185"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002301.CDF"	"120621_Pivus_002301.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"78.84575188"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2185"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002302.CDF"	"120621_Pivus_002302.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"78.84575188"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2161"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002401.CDF"	"120621_Pivus_002401.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"75.80613011"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2161"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002402.CDF"	"120621_Pivus_002402.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"75.80613011"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1876"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002501.CDF"	"120621_Pivus_002501.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"83.83388687"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1876"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002502.CDF"	"120621_Pivus_002502.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"83.83388687"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2190"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002601.CDF"	"120621_Pivus_002601.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"83.2811607"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_2190"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002602.CDF"	"120621_Pivus_002602.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"83.2811607"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_1885"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002701.CDF"	"120621_Pivus_002701.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"81.26788222"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1885"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002702.CDF"	"120621_Pivus_002702.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"81.26788222"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2103"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002801.CDF"	"120621_Pivus_002801.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"76.59318453"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Winter"
"subject_2103"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002802.CDF"	"120621_Pivus_002802.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"76.59318453"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Winter"
"subject_1843"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002901.CDF"	"120621_Pivus_002901.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"81.80855869"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1843"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_002902.CDF"	"120621_Pivus_002902.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"81.80855869"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1842"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003001.CDF"	"120621_Pivus_003001.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"83.73029879"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1842"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003002.CDF"	"120621_Pivus_003002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"83.73029879"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1853"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003101.CDF"	"120621_Pivus_003101.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"79.94356842"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1853"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003102.CDF"	"120621_Pivus_003102.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"79.94356842"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2182"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003201.CDF"	"120621_Pivus_003201.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"87.51606119"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2182"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003202.CDF"	"120621_Pivus_003202.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"87.51606119"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1880"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003301.CDF"	"120621_Pivus_003301.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"100.0945293"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1880"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_003302.CDF"	"120621_Pivus_003302.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"100.0945293"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
